query,response,bleu,rougeL,semantic_similarity,faithfulness,answer_relevancy,answer_correctness,accuracy,precision,recall,f1_score,confidence_score,latency_ms,retrieval_score
Kenapa rem mobil berbunyi saat digunakan?,"Rem mobil berbunyi saat digunakan biasanya disebabkan oleh:
1. Beton Rem yang Kurang Rata: Rem yang tidak rata atau mengalami keausan tidak merata dapat memicu bongkar rem dan menghasilkan bunga-bunga yang terdengar seperti rem berbunyi.
2. Injektor Rem yang Kurang Optimal: Injektor yang tidak bersih atau tidak bekerja dengan baik dapat menghalangi suplai bahan bakar ke rem, menyebabkan rem berbunga-bungan.
3. Sensor Rem yang Kurang Bebas: Sensor rem yang tidak bekerja dengan baik dapat mengganggu kontrol pengisian rem, menyebabkan rem berbunga-bungan.
4.",0.08781266504875444,0.26666666666666666,0.2127659574468085,0.3038287361053932,0.11627906976744186,0.19566869300911854,1.0,0.07142857142857142,0.5,0.125,0.46631420129128204,10911.224842071533,0.7553887367248535
Apa penyebab aki mobil cepat soak?,"Aki mobil cepat soak adalah hasil dari masalah sistem pengisian yang tidak optimal. Ini bisa disebabkan oleh:
1. Blok: - Pengisian Ulang: Aki tidak bisa tersedia selama pengisian ulang. - Tegangan Pengisian tidak stabil atau tidak ideal.
2. Gejala: - Suara Kasar: Aki tidak bisa menyediakan listrik yang cukup. - Mesin Bulat: Mesin tidak bisa mengeluarkan listrik. - Keluaran Air: Aki tidak bisa menyimpan air yang cukup. - Kepal Terbentuk: Mesin tidak bisa mengeluarkan air dari kapasitas tertentu.
3.",0.0618588693535195,0.23157894736842105,0.1875,0.26801652892561983,0.09523809523809523,0.2049354103343465,1.0,0.1,0.5714285714285714,0.1702127659574468,0.4272886758105816,7940.730571746826,0.7078584432601929
Apa fungsi oli mesin pada mobil?,Oli mesin pada mobil berfungsi melumasi komponen internal mesin agar gesekan dan keausan dapat dikurangi.,0.20333448190047881,0.6,0.4375,0.4172323759791123,0.23076923076923078,0.5106394830659537,1.0,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.5522550958855812,6064.1679763793945,0.7028429508209229
Apa perbedaan transmisi manual dan otomatis pada mobil?,"Transmisi manual dan otomatis memiliki perbedaan penting dalam penggunaan mobil. Transmisi manual biasanya digunakan untuk mobil yang tidak memiliki sistem pengisian atau pengapian, seperti mobil manual. Namun, mereka juga dapat digunakan untuk mobil yang memiliki sistem pengisian atau pengapian, seperti mobil otomatis. Oleh karena itu, perbedaan utama antara transmisi manual dan otomatis terletak pada kemampuan untuk mengontrol dan mengoperasikan mesin secara otomatis.",0.008181946133557844,0.1728395061728395,0.1111111111111111,0.3198439241917503,0.18518518518518517,0.17734215605183345,1.0,0.11538461538461539,0.6,0.1935483870967742,0.31209501633015463,8597.149133682251,0.5336793065071106
Apa fungsi turbo pada mesin mobil?,"Fungsi turbo pada mesin mobil adalah untuk meningkatkan jumlah udara yang masuk ke ruang bakar sehingga proses pembakaran dapat menghasilkan tenaga yang lebih besar. Dengan bantuan turbo, mesin berkapasitas kecil dapat memiliki performa yang lebih baik tanpa harus meningkatkan ukuran mesin secara signifikan.",0.12217872405854398,0.3728813559322034,0.3,0.45276872964169385,0.14285714285714285,0.330976430976431,1.0,0.18518518518518517,0.8333333333333334,0.303030303030303,0.4991191311922974,7473.923444747925,0.7507082223892212
Kenapa konsumsi bensin mobil terasa lebih boros dari biasanya?,Suara kasar terdengar dari mesin biasanya disebabkan oleh pelumasan yang kurang atau komponen yang mulai aus akibat penggunaan.,0.05381826970898092,0.25641025641025644,0.10344827586206896,0.43157894736842106,0.05,0.05172413793103448,0.0,0.0,0.0,0.0,0.44380475568866856,3623.3272552490234,0.7324952483177185
Apa penyebab mobil bergetar saat idle?,"Mobil yang bergetar saat idle biasanya disebabkan oleh pembakaran yang tidak stabil, busi yang kotor, injektor yang kurang optimal, atau engine mounting yang mulai melemah. Setelan idle yang tidak tepat juga dapat membuat getaran terasa lebih jelas. Pemeriksaan awal sebaiknya dilakukan pada sistem pengapian, sistem bahan bakar, dan dudukan mesin.",0.2840856719034977,0.5714285714285715,0.5,0.46467065868263474,0.10526315789473684,0.4540051679586563,1.0,0.19444444444444445,1.0,0.32558139534883723,0.6244272478142185,10390.879392623901,0.8210973739624023
Apa arti lampu check engine yang menyala?,"Maaf, sistem ini hanya mendukung pertanyaan seputar otomotif.",0.010218289380194194,0.08333333333333333,0.05263157894736842,0.20722891566265061,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.318126764616599,10065.667390823364,0.5894777178764343
Apa perbedaan mobil hybrid dan mobil listrik?,"Mobil Hybrid: Membantu terutama saat parkir, berbelok, atau berkendara pada kecepatan rendah. Mobil Listrik: Memiliki performa yang lebih baik tanpa harus meningkatkan ukuran mesin secara signifikan. Sistem ini juga dapat membantu efisiensi bila digunakan dengan pengaturan yang tepat.",0.006414921514603761,0.1724137931034483,0.1111111111111111,0.4375,0.1,0.19785247432306255,1.0,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.32570615369304146,4957.275390625,0.5619979500770569
Apa fungsi catalytic converter pada mobil?,"Fungsi catalytic converter pada mobil adalah untuk mengubah partikeloksida (NOx) menjadi gasoksida (CO), yang kemudian dapat diuraikan ke bagian pembakaran. Ini membantu mengurangi polutanoksida dan meningkatkan efisiensi pembakaran.",0.008839374326825921,0.14285714285714285,0.1,0.21608579088471852,0.19047619047619047,0.17615384615384616,1.0,0.15,0.5,0.23076923076923075,0.3284721260554069,7355.8080196380615,0.5810959935188293
Kenapa AC mobil tidak dingin?,"AC mobil yang tidak dingin dapat disebabkan oleh refrigeran berkurang, kompresor melemah, evaporator kotor, atau kipas kondensor yang tidak bekerja optimal. Filter kabin yang kotor juga bisa menghambat aliran udara dingin ke dalam kabin. Pemeriksaan sebaiknya dilakukan pada tekanan refrigeran, kompresor, filter kabin, dan komponen sistem AC lainnya.",0.2820837881408257,0.49230769230769234,0.45161290322580644,0.45013927576601676,0.0967741935483871,0.4163856021920538,1.0,0.2,0.8571428571428571,0.32432432432432434,0.5771724154955828,5106.496572494507,0.7671490907669067
Apa penyebab mobil limbung saat menikung?,"Penyebab mobil limbung saat menikung adalah: Rem yang seret atau bearing roda yang mulai aus sehingga roda tidak berputar dengan bebas. Kotoran yang menempel dapat meningkatkan gesekan antar komponen roda, yang kemudian menyebabkan suara berdecit dari roda.",0.029497316965253383,0.2105263157894737,0.13157894736842105,0.3977951984321411,0.18518518518518517,0.1763663967611336,1.0,0.11538461538461539,0.5,0.1875,0.44864208000646133,7568.778038024902,0.7772723436355591
Kenapa mobil sulit berakselerasi saat menanjak?,"Mobil yang sulit berakselerasi saat menanjak biasanya disebabkan oleh tenaga mesin yang menurun, pembakaran yang tidak optimal, atau sistem transmisi yang tidak bekerja maksimal. Pada mobil manual, kopling yang mulai aus juga dapat membuat tenaga tidak tersalurkan dengan baik. Pemeriksaan awal sebaiknya dilakukan pada sistem bahan bakar, pengapian, filter udara, dan komponen transmisi.",0.24756892638804756,0.5479452054794521,0.4722222222222222,0.32961995938497246,0.13513513513513514,0.4109726836471022,1.0,0.16666666666666666,0.8571428571428571,0.27906976744186046,0.5781999889223802,7585.325717926025,0.7586429119110107
Apa fungsi power steering pada mobil?,"Fungsi power steering pada mobil adalah untuk memperkuat atau mengontrol posisi kelistrikan mobil. Ini dilakukan dengan menggunakan aki (tire pump) yang digunakan untuk mengeluarkan air dari pedal kelistrikan. Kemudian, aki tersebut dikirim ke pedal kelistrikan untuk mengubah posisi kelistrikan mobil. Ini membantu mengurangi atau menambahkan kecepatan mobil.",0.004649189828106597,0.10169491525423728,0.09375,0.2285263157894737,0.15384615384615385,0.170875,1.0,0.12,0.6,0.19999999999999998,0.4160706702067432,8139.835596084595,0.7789692878723145
Kenapa rem motor saya berbunyi berdecit saat digunakan terutama di kecepatan rendah?,"Rem motor yang berbunyi berdecit saat kecepatan rendah biasanya disebabkan oleh kampas rem yang mulai aus, material kampas yang mengeras, atau permukaan piringan rem yang kotor. Debu dan kotoran pada sistem rem juga dapat menimbulkan bunyi saat pengereman. Pemeriksaan awal sebaiknya dilakukan pada kampas rem, piringan, dan kebersihan area pengereman.",0.21724803491249478,0.47222222222222227,0.4838709677419355,0.3817746721546856,0.2,0.4607809847198642,1.0,0.22580645161290322,1.0,0.3684210526315789,0.525890163027118,5230.130195617676,0.7070451974868774
Motor terasa bergetar saat langsam atau idle apa penyebabnya?,Motor terasa bergetar saat langsam atau idle karena tenaga mesin yang menurun atau pembakaran yang tidak optimal.,0.21786176892808484,0.45,0.36363636363636365,0.4198347107438017,0.42857142857142855,0.4595959595959596,1.0,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.539249586395153,6222.951173782349,0.7445682883262634
Kenapa motor sulit dihidupkan saat pagi hari?,"Motor yang sulit dihidupkan saat pagi hari biasanya disebabkan oleh aki yang mulai melemah, busi yang kotor, atau penguapan bahan bakar yang kurang optimal pada suhu dingin.",0.3674668904964848,0.6250000000000001,0.5384615384615384,0.4488372093023256,0.2727272727272727,0.5557660730074523,1.0,0.38095238095238093,1.0,0.5517241379310345,0.6158980637000184,6946.0694789886475,0.7355626821517944
Motor tersendat saat digas kenapa hal ini bisa terjadi?,"Motor yang tersendat saat digas biasanya disebabkan oleh suplai bahan bakar yang tidak lancar, karburator kotor, injektor bermasalah, atau sensor throttle yang tidak bekerja optimal. Busi yang lemah juga dapat membuat pembakaran tidak stabil. Pemeriksaan awal sebaiknya dilakukan pada sistem bahan bakar, injektor atau karburator, dan busi.",0.1431983145394352,0.43076923076923074,0.46875,0.3911981566820277,0.1111111111111111,0.4680391852770885,1.0,0.25806451612903225,1.0,0.41025641025641024,0.5055437607263517,8074.201583862305,0.7241037487983704
Kenapa knalpot motor mengeluarkan asap hitam?,"Asap hitam pada knalpot motor menandakan campuran bahan bakar terlalu kaya sehingga pembakaran tidak sempurna. Kondisi ini bisa dipicu oleh filter udara yang kotor, injektor bocor, atau setelan bahan bakar yang tidak tepat. Jika dibiarkan, konsumsi bensin dapat menjadi lebih boros dan performa mesin menurun.",0.30937857816982023,0.5,0.3888888888888889,0.4732203389830509,0.10526315789473684,0.39844961240310084,1.0,0.19444444444444445,1.0,0.32558139534883723,0.5617401783425802,5005.146265029907,0.7187910676002502
Motor terasa kurang bertenaga saat digunakan apa penyebabnya?,"Motor yang terasa kurang bertenaga biasanya disebabkan oleh filter udara yang kotor, busi yang melemah, suplai bahan bakar yang tidak optimal, atau kompresi mesin yang menurun. Kondisi transmisi atau kopling yang mulai aus juga dapat memengaruhi tenaga yang tersalurkan ke roda. Pemeriksaan awal sebaiknya meliputi busi, filter udara, sistem bahan bakar, dan kompresi mesin.",0.2254255980635259,0.5405405405405406,0.5428571428571428,0.46907894736842104,0.10256410256410256,0.5046753246753246,1.0,0.2571428571428571,1.0,0.40909090909090906,0.5629175209409946,5209.104299545288,0.742851972579956
Kenapa lampu motor terlihat redup saat dinyalakan?,"Lampu motor terlihat redup saat dinyalakan karena beberapa penyebab:
1. Fungsi Rem mobil sering kali terasa berdegat ketika dimiliki, terutama saat dipakai dalam kondisi tertentu. Rem ini harus selalu aktif dan bekerja dengan baik untuk memenuhi kebutuhan pengguna.
2. Pengisian Listrik yang buruk atau tidak stabil bisa menyebabkan lampu motor terlihat redup. Ini bisa terjadi karena sistem pengisian listrik tidak bekerja dengan baik, atau ada kesalahan dalam proses pengisian.
3.",0.007226118863353895,0.16666666666666669,0.09803921568627451,0.2627627627627628,0.13043478260869565,0.15470947353300293,1.0,0.08888888888888889,0.5714285714285714,0.15384615384615385,0.37700088059423614,8155.972242355347,0.6670553684234619
Motor cepat panas saat digunakan dalam perjalanan jauh kenapa?,"Motor yang cepat panas saat digunakan dalam perjalanan jauh biasanya disebabkan oleh pelumasan yang tidak optimal, kualitas oli yang menurun, atau sistem pendinginan yang tidak bekerja maksimal. Gesekan antar komponen mesin akan meningkat jika pendinginan dan pelumasan tidak berjalan baik. Pemeriksaan awal sebaiknya dilakukan pada kondisi oli, jalur pendinginan, dan kebersihan mesin.",0.2322365386782331,0.5675675675675677,0.5135135135135135,0.4118357487922706,0.21621621621621623,0.4607619247154131,1.0,0.19444444444444445,1.0,0.32558139534883723,0.5181465483929626,5248.190402984619,0.6363910436630249
Kenapa suara mesin motor terdengar lebih kasar dari biasanya?,"Suara mesin motor yang terdengar lebih kasar dari biasanya umumnya disebabkan oleh pelumasan yang kurang baik atau adanya keausan pada komponen internal mesin. Oli yang kualitasnya menurun dapat meningkatkan gesekan sehingga suara mesin menjadi lebih menonjol. Pemeriksaan pada oli, klep, dan komponen mesin lain disarankan bila suara kasar terus muncul.",0.19180022157434473,0.5142857142857143,0.5161290322580645,0.4841628959276018,0.1875,0.4769100169779287,1.0,0.22580645161290322,1.0,0.3684210526315789,0.5545811691952699,5371.452808380127,0.7561193704605103
Motor terasa berat saat dikendarai apa penyebabnya?,"Motor yang terasa berat saat dikendarai bisa disebabkan oleh tekanan ban yang kurang, rem yang seret, rantai yang terlalu kencang, atau sistem transmisi yang tidak bekerja optimal. Kondisi mesin yang kurang prima juga dapat membuat tenaga terasa tertahan. Pemeriksaan awal sebaiknya dilakukan pada ban, rem, rantai, dan sistem transmisi.",0.2607870835813377,0.5714285714285714,0.59375,0.35754504504504503,0.14705882352941177,0.5124198717948718,1.0,0.21875,1.0,0.358974358974359,0.5678606897992301,5015.125274658203,0.7196135520935059
Rantai motor berbunyi kasar saat jalan kenapa?,"Rantai motor yang berbunyi kasar biasanya disebabkan oleh kurangnya pelumasan, setelan rantai yang tidak tepat, atau rantai dan gear yang mulai aus. Gesekan antar komponen akan meningkat jika rantai terlalu kering atau terlalu kencang. Pelumasan rutin dan pemeriksaan kekencangan rantai sangat penting untuk menjaga performa transmisi motor.",0.2766633702235513,0.5671641791044776,0.4375,0.28801843317972353,0.11764705882352941,0.4375955008488964,1.0,0.22580645161290322,1.0,0.3684210526315789,0.563375548449561,5101.861476898193,0.7048373222351074
Motor tidak stabil saat kecepatan tinggi apa penyebabnya?,"Motor yang tidak stabil saat kecepatan tinggi biasanya disebabkan oleh kondisi ban yang tidak seimbang, velg yang tidak lurus, atau suspensi yang mulai melemah. Tekanan angin yang tidak sesuai juga dapat memengaruhi kestabilan kendaraan. Pemeriksaan sebaiknya dilakukan pada ban, velg, bearing, dan suspensi agar pengendalian motor tetap aman.",0.22355506685056625,0.537313432835821,0.46875,0.46305084745762715,0.18181818181818182,0.4680391852770885,1.0,0.25806451612903225,1.0,0.41025641025641024,0.5672494048898585,5182.92236328125,0.7540645599365234
Motor brebet saat jalan pelan kenapa bisa begitu?,"Motor yang brebet saat jalan pelan umumnya disebabkan oleh suplai bahan bakar yang tidak stabil, karburator kotor, atau injektor bermasalah. Setelan idle yang kurang tepat juga bisa membuat putaran rendah tidak stabil. Pemeriksaan awal sebaiknya dilakukan pada sistem bahan bakar, busi, dan setelan idle motor.",0.37890982693190917,0.6567164179104478,0.6,0.39556948798328107,0.1875,0.5375438596491229,1.0,0.26666666666666666,1.0,0.4210526315789474,0.6261399865893887,2787.294626235962,0.7344668507575989
Motor tiba tiba mati saat dikendarai apa penyebabnya?,Motor tiba tiba mati saat dikendarai karena gangguan pada sistem bahan bakar atau sistem pengapian yang tidak bekerja dengan baik.,0.18951629567590741,0.6153846153846154,0.5555555555555556,0.4317073170731708,0.3333333333333333,0.5593711843711844,1.0,0.46153846153846156,0.75,0.5714285714285714,0.5867869324007509,6203.371286392212,0.7711234092712402
Starter elektrik motor tidak berfungsi kenapa?,"Starter elektrik motor yang tidak berfungsi biasanya disebabkan oleh aki yang lemah, relay starter bermasalah, atau dinamo starter yang tidak bekerja optimal. Kabel kelistrikan yang longgar atau saklar starter yang rusak juga dapat menyebabkan gejala serupa. Pemeriksaan awal sebaiknya dilakukan pada aki, relay, kabel, dan dinamo starter.",0.3926431715623028,0.6176470588235294,0.5357142857142857,0.46176470588235297,0.1724137931034483,0.4813025210084034,1.0,0.21428571428571427,1.0,0.35294117647058826,0.5914415332358013,5257.358551025391,0.6777379512786865
Kenapa motor sulit dinyalakan saat kondisi panas?,"Motor yang sulit dinyalakan saat kondisi panas biasanya disebabkan oleh sistem bahan bakar atau pengapian yang tidak bekerja optimal ketika suhu mesin tinggi. Penguapan bahan bakar, busi yang melemah, atau kompresi yang menurun juga dapat memperburuk kondisi ini. Pemeriksaan awal sebaiknya dilakukan pada busi, bahan bakar, dan sistem pengapian.",0.2522249768533851,0.5352112676056339,0.59375,0.44241573033707865,0.18181818181818182,0.5124198717948718,1.0,0.21875,1.0,0.358974358974359,0.5608578020262385,5353.538513183594,0.7279974818229675
Konsumsi bensin motor terasa lebih boros dari biasanya kenapa?,"Motor yang boros bensin biasanya disebabkan oleh pembakaran yang tidak efisien, filter udara kotor, injektor yang tidak bekerja optimal, atau setelan bahan bakar yang tidak tepat. Gaya berkendara yang agresif juga dapat meningkatkan konsumsi bahan bakar. Pemeriksaan awal sebaiknya dilakukan pada filter udara, sistem bahan bakar, dan kondisi busi.",0.16577138056091775,0.5142857142857143,0.5151515151515151,0.48000000000000004,0.14705882352941177,0.47312062937062943,1.0,0.21875,1.0,0.358974358974359,0.5141069408144717,5411.094665527344,0.6881853342056274
Tercium bau bensin dari motor apa penyebabnya?,"Bau bensin pada motor biasanya menandakan adanya kebocoran pada sistem bahan bakar, seperti selang bensin, karburator, atau sambungan yang tidak rapat. Kondisi ini juga bisa terjadi jika campuran bahan bakar terlalu kaya. Pemeriksaan sebaiknya segera dilakukan karena kebocoran bahan bakar berisiko terhadap keselamatan.",0.2547787765704113,0.59375,0.4666666666666667,0.46691449814126396,0.09090909090909091,0.4556756756756757,1.0,0.23333333333333334,1.0,0.37837837837837834,0.6268000985195865,2645.0724601745605,0.8293358087539673
Rem motor terasa kurang pakem saat digunakan kenapa?,"Rem motor yang terasa kurang pakem biasanya disebabkan oleh kampas rem yang aus, minyak rem yang berkurang, atau permukaan rem yang kotor. Pada rem cakram, piringan yang tidak rata juga dapat memengaruhi daya cengkeram. Pemeriksaan awal sebaiknya meliputi kampas rem, minyak rem, dan kondisi piringan atau tromol.",0.26758001658870656,0.5757575757575757,0.4642857142857143,0.35080645161290325,0.16129032258064516,0.46214285714285713,1.0,0.25,1.0,0.4,0.5207433245735396,5143.440723419189,0.619817852973938
Motor terasa limbung saat menikung apa penyebabnya?,"Motor yang terasa limbung saat menikung biasanya disebabkan oleh suspensi yang melemah, tekanan ban yang tidak sesuai, atau kondisi ban yang sudah kurang baik. Beban kendaraan yang tidak seimbang juga dapat memengaruhi kestabilan saat berbelok. Pemeriksaan sebaiknya dilakukan pada ban, suspensi, dan kondisi kaki-kaki motor.",0.4155118189372243,0.6470588235294118,0.6206896551724138,0.34469827586206897,0.16129032258064516,0.5036511156186613,1.0,0.1724137931034483,1.0,0.29411764705882354,0.6623735306251276,5219.690561294556,0.7934617400169373
Apa perbedaan rem cakram dan rem tromol pada kendaraan?,"Rem cakram menggunakan piringan dan kampas yang menjepit dari sisi luar, sedangkan rem tromol bekerja dengan sepatu rem yang menekan bagian dalam tromol.",0.2033005792834547,0.3829787234042554,0.2,0.42434782608695654,0.17647058823529413,0.3038095238095238,1.0,0.2857142857142857,0.6666666666666666,0.4,0.47192210700394355,6564.528703689575,0.650704562664032
Apa fungsi aki pada mobil dan motor?,"Aki berfungsi menyimpan dan menyuplai energi listrik untuk kebutuhan awal kendaraan, seperti starter, lampu, klakson, dan sistem elektronik lainnya. Pada mobil maupun motor, aki membantu memastikan sistem kelistrikan dapat bekerja stabil saat mesin belum atau sedang menyala. Jika aki lemah, kendaraan bisa sulit distarter dan komponen kelistrikan ikut terganggu.",0.2135940772831389,0.46874999999999994,0.32432432432432434,0.36441341118401255,0.07692307692307693,0.3765165165165165,1.0,0.21621621621621623,1.0,0.35555555555555557,0.42373141603022685,5290.412664413452,0.5062907934188843
Kenapa kendaraan terasa bergetar saat kecepatan tinggi?,"Maaf, sistem ini hanya mendukung pertanyaan seputar otomotif.",0.0,0.0,0.0,0.20766773162939298,0.0,0.0,0.0,0.0,0.0,0.0,0.4072929918766022,7028.6664962768555,0.8145859837532043
Apa penyebab suara mesin menjadi kasar setelah dipakai lama?,Suara mesin menjadi kasar setelah dipakai lama biasanya disebabkan oleh peningkatan suhu yang mempengaruhi pelumasan serta adanya keausan pada komponen mesin akibat penggunaan terus menerus.,0.3243466207565264,0.6086956521739131,0.5,0.3873015873015873,0.30434782608695654,0.455026455026455,1.0,0.23809523809523808,0.8333333333333334,0.37037037037037035,0.5991172753287097,6794.714450836182,0.7317134141921997
Bagaimana cara kerja sistem injeksi bahan bakar?,"Maaf, sistem ini hanya mendukung pertanyaan seputar otomotif.",0.0,0.06896551724137931,0.045454545454545456,0.20695652173913046,0.07142857142857142,0.022727272727272728,0.0,0.0,0.0,0.0,0.43170483975574886,7374.189853668213,0.8289269208908081
Apa fungsi suspensi pada mobil dan motor?,"Fungsi suspensi pada mobil dan motor termasuk meredam guncangan dari permukaan jalan agar kendaraan tetap nyaman dan stabil saat digunakan. Selain itu, suspensi juga membantu menjaga kontak ban dengan permukaan jalan sehingga pengendalian menjadi lebih baik. Jika suspensi lemah, kendaraan akan terasa kurang nyaman dan kestabilannya.",0.25728025143580546,0.45901639344262296,0.36666666666666664,0.41978221415607986,0.13333333333333333,0.39328407224958944,1.0,0.20689655172413793,1.0,0.34285714285714286,0.5553769399404629,7434.006452560425,0.7526055574417114
Kenapa kendaraan terasa kurang responsif saat gas ditarik?,"Maaf, sistem ini hanya mendukung pertanyaan seputar otomotif.",0.0033173928594616674,0.06060606060606061,0.037037037037037035,0.20863309352517986,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.37275528291250787,5356.028079986572,0.7135488390922546
Apa penyebab kendaraan cepat kehabisan bahan bakar?,"Maaf, sistem ini hanya mendukung pertanyaan seputar otomotif.",0.0037590985869139244,0.0625,0.04,0.15625000000000003,0.0,0.02,0.0,0.0,0.0,0.0,0.43333305729862975,7394.209146499634,0.8335365653038025
Apa fungsi filter udara pada mesin kendaraan?,Filter udara berfungsi menyaring debu dan kotoran sebelum udara masuk ke ruang pembakaran mesin.,0.1848737287004608,0.5625000000000001,0.6,0.41935483870967744,0.21428571428571427,0.5918894830659537,1.0,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.525844968544439,6016.144275665283,0.6780030727386475
